?Specia,GrupaSpecii,Simbol,SortimentPrimar,GrupaSpeciiSortiment,SortimentIndustrial,SortimentSUMAL,SubsortimentSUMAL,PretFasonat_lei_mc
Paltin de camp,Foioase,Pa,LEMN ROTUND,Ci Pa Fr Sb Nu,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,550.0
Paltin de camp,Foioase,Pa,LEMN ROTUND,Ci Pa Fr Sb Nu,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,500.0
Paltin de camp,Foioase,Pa,LEMN ROTUND,Ci Pa Fr Sb Nu,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,370.0
Paltin de camp,Foioase,Pa,LEMN ROTUND,Ci Pa Fr Sb Nu,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,370.0
Paltin de camp,Foioase,Pa,LEMN DE FOC,DT,LEMN FOC,LEMN DE FOC,LEMN DE FOC,320.0
Paltin de camp,Foioase,Pa,LEMN DE FOC,DT,GR.CRACI,LEMN DE FOC,LEMN DE FOC,100.0
Paltin de munte,Foioase,Pa,LEMN ROTUND,Ci Pa Fr Sb Nu,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,550.0
Paltin de munte,Foioase,Pa,LEMN ROTUND,Ci Pa Fr Sb Nu,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,500.0
Paltin de munte,Foioase,Pa,LEMN ROTUND,Ci Pa Fr Sb Nu,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,370.0
Paltin de munte,Foioase,Pa,LEMN ROTUND,Ci Pa Fr Sb Nu,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,370.0
Paltin de munte,Foioase,Pa,LEMN DE FOC,DT,LEMN FOC,LEMN DE FOC,LEMN DE FOC,320.0
Paltin de munte,Foioase,Pa,LEMN DE FOC,DT,GR.CRACI,LEMN DE FOC,LEMN DE FOC,100.0
Par paduret,Foioase,Pr,LEMN ROTUND,DT Ce Ca Ju Me,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,500.0
Par paduret,Foioase,Pr,LEMN ROTUND,DT Ce Ca Ju Me,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,480.0
Par paduret,Foioase,Pr,LEMN ROTUND,DT Ce Ca Ju Me,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,370.0
